firm_name,firm_blurb,firm_location
Cyclr,Cyclr is a SaaS business that develops an integration platform,Locations: Croydon
26AVIATION,"26AVIATION is a bespoke, London-based air charter specialist",Locations: Croydon
Cognitive Law,Contemporary consultancy law firm ,Locations: Falmer
Mightify,"The UK's number 1 personal development, careers and resettlement service for the emergency services and education sectors.",Locations: Falmer
The Creative Mindset Studio,Inspiring people to rediscover their passions and reawaken their creative mindsets.,Locations: Croydon
IT Cluster ,Creating unique campaigns to help businesses grow. ,Locations: Croydon
Transformationalist (The Healing Hub),An extraordinary journey of self-healing and positive change.,Locations: Croydon
Gulp Digital ,Build innovative digital products,Locations: Croydon
H2 Software ,Bespoke software for personal and business use.,Locations: Croydon
StoryScreen,"Video Content, Coaching & Consultancy.
",Locations: Falmer
The Salon app,Salon App is a world-class salon software platform built exclusively for hairdressing and beauty salons. ,Locations: Falmer
Patch Works UK,Not Your Ordinary Vitamins! ,Locations: Falmer
Dukesforyou Limited,Dukesforyou Limited is a start-up that offers business consulting and technology solutions.,Locations: Falmer
Ambiental Environmental Assessment,"Ambiental Environmental Assessment is a specialist in flood risk assessment, environmental reports, and civil engineering.",Locations: Falmer
Reviso.ai ,Reviso.ai automatically turns lecture slides into interactive quizzes - a more effective & enjoyable way to study for your exams,Locations: Brighton
Oracle Environmental Experts LTD,Oracle Environmental Experts Limited (OEE) provide environmental expert witness and technical services to a wide range of clients.,Locations: Falmer
Buddyng Limited,Expanding perspectives,Locations: Falmer
Blackthorn GRC,"Blackthorn is the enterprise Governance, Risk and Compliance (eGRC) vendor.
",Locations: Croydon
Ingenio Technologies,IT support and VoIP solutions. ,Locations: Falmer
4ward Testing,Mechanical and environmental test laboratory.,Locations: Falmer
ANAMAD,ANAMAD is a micro SME that will develop laboratory technologies into useful products.,Locations: Falmer
Dash Rides,The first commission free or zero-commission ride-sharing platform in Europe.,Locations: Falmer
SMARTHOME news,"The home of smart home, news, reviews, how-to's and buyer's guides.",View profile
Dtime,Dtime offer enterprise-grade data-driven solutions to the global energy sector.,Locations: Croydon
Mindful Contract Solutions,Forward-thinking provider of managed professional services,Locations: Croydon
GeoNet Telecom,GeoNet offer a comprehensive suite of highly secure communication and business services.,Locations: Croydon
WS Planning & Architecture,Award winning Planning and Architecture practice.,Locations: Croydon
LifeBox Health,Experts in digital health transformation.,Locations: Falmer
Synertial Technologies,Synertial has led the market in inertial motion capture for over 26 years.,Locations: Falmer
ASC - Aqua,Certifying environmentally and socially responsible seafood. ,Locations: Croydon
